"var","prob","Region","Season"
"b.AOI1",0.538866666666667,"east","win"
"b.AOI.psi",0.661733333333333,"east","win"
"b.AOI.psiB",0.7208,"east","win"
"b.vwndP",0.994466666666667,"east","win"
"b.vwnd1",-0.6404,"east","win"
"b.vwnd.psi",0.5586,"east","win"
"b.vwnd.psiB",0.5178,"east","win"
"b.npgoP",0.9892,"east","win"
"b.npgo1",0.763666666666667,"east","win"
"b.npgo.psi",0.572866666666667,"east","win"
"b.npgo.psiB",0.787066666666667,"east","win"
"b.mass1",0.821933333333333,"east","win"
"b.mass1M",-0.738733333333333,"east","win"
"b.massP",0.976333333333333,"east","win"
"b.massPM",0.9996,"east","win"
"b.mass.psi",-0.526066666666667,"east","win"
"b.mass.psiB",-0.732066666666667,"east","win"
