"Season","Region","null","RE","full"
"win","west",933.700374025459,NA,922.868053209201
"fall","west",933.700374025459,NA,921.289168597982
"sum","west",933.700374025459,NA,930.497355062818
"spr","west",933.700374025459,NA,919.169887353286
"win","east",18011.0471966292,17709.8046024914,17701.0750514522
"fall","east",18011.0471966292,17709.8046024914,17715.3461825854
"sum","east",18011.0471966292,17709.8046024914,17710.4159066839
"spr","east",18011.0471966292,17709.8046024914,17714.3629755412
