"Site","Year","Complex","RCA","LAT","LON","CH","Region","Rookery","Obs","Reg_no","Pup","Bull","SAM","Female","Juv","NP_tot","NP_sum","diff"
"ADAK/ARGONNE POINT",2010,"ADAK/ARGONNE POINT",4,51.828,-176.907,0,"C ALEU",0,1,10,0,5,0,58,22,85,85,0
"ADAK/ARGONNE POINT",2010,"ADAK/ARGONNE POINT",4,51.828,-176.907,0,"C ALEU",0,2,10,0,3,2,41,38,84,84,0
"ADAK/CAPE KAGIGIKAK",2014,"ADAK/CAPE KAGIGIKAK",4,51.629,-176.7231,0,"C ALEU",0,1,10,4,4,2,13,16,35,35,0
"ADAK/CAPE KAGIGIKAK",2014,"ADAK/CAPE KAGIGIKAK",4,51.629,-176.7231,0,"C ALEU",0,2,10,4,5,0,15,16,36,36,0
"ADAK/CAPE MOFFET",2016,"ADAK/CAPE MOFFET",4,51.972,-176.722,0,"C ALEU",0,1,10,0,0,0,0,13,13,13,0
"ADAK/CAPE MOFFET",2016,"ADAK/CAPE MOFFET",4,51.972,-176.722,0,"C ALEU",0,2,10,0,0,0,0,13,13,13,0
"ADAK/CAPE YAKAK",2008,"ADAK",4,51.59,-176.948,1,"C ALEU",0,1,10,0,3,25,19,36,83,83,0
"ADAK/CAPE YAKAK",2008,"ADAK",4,51.59,-176.948,1,"C ALEU",0,2,10,10,6,14,24,40,84,84,0
"ADAK/CAPE YAKAK",2009,"ADAK",4,51.59,-176.948,1,"C ALEU",0,1,10,0,3,1,18,14,36,36,0
"ADAK/CAPE YAKAK",2009,"ADAK",4,51.59,-176.948,1,"C ALEU",0,2,10,0,2,2,15,17,36,36,0
"ADAK/CAPE YAKAK",2010,"ADAK",4,51.59,-176.948,1,"C ALEU",0,1,10,2,8,8,16,11,43,43,0
"ADAK/CAPE YAKAK",2010,"ADAK",4,51.59,-176.948,1,"C ALEU",0,2,10,2,5,5,12,21,43,43,0
"ADAK/CAPE YAKAK",2011,"ADAK",4,51.59,-176.948,1,"C ALEU",0,1,10,0,7,10,41,49,107,107,0
"ADAK/CAPE YAKAK",2011,"ADAK",4,51.59,-176.948,1,"C ALEU",0,2,10,0,7,25,48,28,108,108,0
"ADAK/CAPE YAKAK",2014,"ADAK",4,51.59,-176.948,1,"C ALEU",0,1,10,0,2,5,7,46,60,60,0
"ADAK/CAPE YAKAK",2014,"ADAK",4,51.59,-176.948,1,"C ALEU",0,2,10,0,5,2,15,41,63,63,0
"ADAK/CRONE ISLAND",2008,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,1,10,0,1,2,6,42,51,51,0
"ADAK/CRONE ISLAND",2008,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,2,10,0,3,0,13,34,50,50,0
"ADAK/CRONE ISLAND",2010,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,1,10,0,3,1,2,7,15,13,2
"ADAK/CRONE ISLAND",2010,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,2,10,0,2,2,6,3,15,13,2
"ADAK/CRONE ISLAND",2014,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,1,10,0,2,1,7,11,21,21,0
"ADAK/CRONE ISLAND",2014,"ADAK/CRONE ISLAND",4,51.676,-176.613,0,"C ALEU",0,2,10,0,2,1,8,10,21,21,0
"ADAK/LAKE POINT",2008,"ADAK",4,51.625,-176.992,1,"C ALEU",1,1,10,367,62,25,387,65,539,539,0
"ADAK/LAKE POINT",2008,"ADAK",4,51.625,-176.992,1,"C ALEU",1,2,10,318,73,19,387,51,530,530,0
"ADAK/LAKE POINT",2009,"ADAK",4,51.625,-176.992,1,"C ALEU",1,1,10,337,70,28,376,80,554,554,0
"ADAK/LAKE POINT",2009,"ADAK",4,51.625,-176.992,1,"C ALEU",1,2,10,340,73,34,366,90,563,563,0
"ADAK/LAKE POINT",2010,"ADAK",4,51.625,-176.992,1,"C ALEU",1,1,10,323,115,77,450,22,664,664,0
"ADAK/LAKE POINT",2010,"ADAK",4,51.625,-176.992,1,"C ALEU",1,2,10,314,90,107,397,86,680,680,0
"ADAK/LAKE POINT",2011,"ADAK",4,51.625,-176.992,1,"C ALEU",1,1,10,314,84,63,445,70,662,662,0
"ADAK/LAKE POINT",2011,"ADAK",4,51.625,-176.992,1,"C ALEU",1,2,10,305,60,76,432,82,650,650,0
"ADAK/LAKE POINT",2014,"ADAK",4,51.625,-176.992,1,"C ALEU",1,1,10,247,67,26,325,32,470,450,20
"ADAK/LAKE POINT",2014,"ADAK",4,51.625,-176.992,1,"C ALEU",1,2,10,253,74,27,306,35,462,442,20
"ADUGAK",2008,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,1,9,210,55,64,321,176,616,616,0
"ADUGAK",2008,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,2,9,174,57,59,317,172,605,605,0
"ADUGAK",2009,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,1,9,278,64,62,339,152,617,617,0
"ADUGAK",2009,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,2,9,275,104,36,425,47,612,612,0
"ADUGAK",2010,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,1,9,247,87,40,314,116,563,557,6
"ADUGAK",2010,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,2,9,236,53,169,287,49,564,558,6
"ADUGAK",2011,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,1,9,252,83,73,279,57,492,492,0
"ADUGAK",2011,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,2,9,247,79,62,251,100,492,492,0
"ADUGAK",2014,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,1,9,294,89,69,307,44,509,509,0
"ADUGAK",2014,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,2,9,294,98,81,304,29,512,512,0
"ADUGAK",2016,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,1,9,233,77,67,291,145,583,580,3
"ADUGAK",2016,"ADUGAK",6,52.912,-169.175,1,"E ALEU",1,2,9,241,119,82,331,51,586,583,3
"AFOGNAK/TONKI CAPE",2008,"AFOGNAK/TONKI CAPE",9,58.352,-151.987,0,"C GULF",0,1,7,0,3,1,7,4,15,15,0
"AFOGNAK/TONKI CAPE",2008,"AFOGNAK/TONKI CAPE",9,58.352,-151.987,0,"C GULF",0,2,7,0,2,1,4,8,15,15,0
"AGATTU/CAPE SABAK",2008,"AGATTU",1,52.375,173.722,1,"W ALEU",1,1,11,152,12,34,121,34,201,201,0
"AGATTU/CAPE SABAK",2008,"AGATTU",1,52.375,173.722,1,"W ALEU",1,2,11,55,39,14,127,20,200,200,0
"AGATTU/CAPE SABAK",2011,"AGATTU",1,52.375,173.722,1,"W ALEU",1,1,11,77,47,41,144,72,304,304,0
"AGATTU/CAPE SABAK",2011,"AGATTU",1,52.375,173.722,1,"W ALEU",1,2,11,74,32,44,131,90,297,297,0
"AGATTU/CAPE SABAK",2014,"AGATTU",1,52.375,173.722,1,"W ALEU",1,1,11,45,25,6,67,23,137,121,16
"AGATTU/CAPE SABAK",2014,"AGATTU",1,52.375,173.722,1,"W ALEU",1,2,11,44,27,5,65,24,121,121,0
"AGATTU/CAPE SABAK",2016,"AGATTU",1,52.375,173.722,1,"W ALEU",1,1,11,42,17,19,58,20,116,114,2
"AGATTU/CAPE SABAK",2016,"AGATTU",1,52.375,173.722,1,"W ALEU",1,2,11,42,21,16,60,16,115,113,2
"AGATTU/CAPE SABAK",2017,"AGATTU",1,52.375,173.722,1,"W ALEU",1,1,11,54,28,10,69,25,138,132,6
"AGATTU/CAPE SABAK",2017,"AGATTU",1,52.375,173.722,1,"W ALEU",1,2,11,54,31,8,71,28,144,138,6
"AGATTU/GILLON POINT",2008,"AGATTU",1,52.402,173.355,1,"W ALEU",1,1,11,252,18,30,164,73,285,285,0
"AGATTU/GILLON POINT",2008,"AGATTU",1,52.402,173.355,1,"W ALEU",1,2,11,68,41,11,172,48,272,272,0
"AGATTU/GILLON POINT",2011,"AGATTU",1,52.402,173.355,1,"W ALEU",1,1,11,83,22,15,111,12,160,160,0
"AGATTU/GILLON POINT",2011,"AGATTU",1,52.402,173.355,1,"W ALEU",1,2,11,83,21,12,107,25,165,165,0
"AGATTU/GILLON POINT",2012,"AGATTU",1,52.402,173.355,1,"W ALEU",1,1,11,91,32,26,112,24,196,194,2
"AGATTU/GILLON POINT",2012,"AGATTU",1,52.402,173.355,1,"W ALEU",1,2,11,88,28,42,97,27,194,194,0
"AGATTU/GILLON POINT",2014,"AGATTU",1,52.402,173.355,1,"W ALEU",1,1,11,82,39,21,83,15,158,158,0
"AGATTU/GILLON POINT",2014,"AGATTU",1,52.402,173.355,1,"W ALEU",1,2,11,79,37,24,81,17,159,159,0
"AGATTU/GILLON POINT",2016,"AGATTU",1,52.402,173.355,1,"W ALEU",1,1,11,99,34,11,108,21,174,174,0
"AGATTU/GILLON POINT",2016,"AGATTU",1,52.402,173.355,1,"W ALEU",1,2,11,102,35,15,105,19,174,174,0
"AGHIYUK",2015,"AGHIYUK",8,56.157,-156.808,0,"C GULF",0,1,7,0,0,2,3,39,47,44,3
"AGHIYUK",2015,"AGHIYUK",8,56.157,-156.808,0,"C GULF",0,2,7,0,0,4,0,40,47,44,3
"AGHIYUK",2017,"AGHIYUK",8,56.157,-156.808,0,"C GULF",0,1,7,0,0,6,8,89,103,103,0
"AGHIYUK",2017,"AGHIYUK",8,56.157,-156.808,0,"C GULF",0,2,7,0,2,1,23,72,98,98,0
"AGLIGADAK",2008,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,1,10,0,1,4,3,6,14,14,0
"AGLIGADAK",2008,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,2,10,0,1,3,0,9,13,13,0
"AGLIGADAK",2009,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,1,10,0,5,5,0,1,11,11,0
"AGLIGADAK",2009,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,2,10,0,8,2,0,1,11,11,0
"AGLIGADAK",2010,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,1,10,1,3,11,2,23,39,39,0
"AGLIGADAK",2010,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,2,10,1,3,4,13,18,38,38,0
"AGLIGADAK",2011,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,1,10,0,2,2,3,5,12,12,0
"AGLIGADAK",2011,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,2,10,0,4,2,1,5,12,12,0
"AGLIGADAK",2014,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,1,10,0,6,4,5,30,45,45,0
"AGLIGADAK",2014,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,2,10,0,5,5,13,22,45,45,0
"AGLIGADAK",2016,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,1,10,0,4,6,1,25,36,36,0
"AGLIGADAK",2016,"AGLIGADAK",5,52.102,-172.903,1,"C ALEU",0,2,10,0,7,5,0,25,37,37,0
"AIALIK CAPE",2008,"AIALIK CAPE",10,59.705,-149.524,0,"E GULF",0,1,6,0,5,0,33,39,77,77,0
"AIALIK CAPE",2008,"AIALIK CAPE",10,59.705,-149.524,0,"E GULF",0,2,6,0,5,0,33,39,77,77,0
"AIALIK CAPE",2009,"AIALIK CAPE",10,59.705,-149.524,0,"E GULF",0,1,6,1,1,16,15,56,88,88,0
"AIALIK CAPE",2009,"AIALIK CAPE",10,59.705,-149.524,0,"E GULF",0,2,6,1,4,6,21,58,89,89,0
"AIALIK CAPE",2010,"AIALIK CAPE",10,59.705,-149.524,0,"E GULF",0,1,6,0,4,21,18,31,74,74,0
"AIALIK CAPE",2010,"AIALIK CAPE",10,59.705,-149.524,0,"E GULF",0,2,6,0,7,10,17,41,75,75,0
"AIALIK CAPE",2013,"AIALIK CAPE",10,59.705,-149.524,0,"E GULF",0,1,6,0,2,15,35,112,164,164,0
"AIALIK CAPE",2013,"AIALIK CAPE",10,59.705,-149.524,0,"E GULF",0,2,6,0,0,10,49,105,164,164,0
"AIKTAK",2008,"AIKTAK",7,54.183,-164.853,1,"E ALEU",0,1,9,2,5,1,26,9,41,41,0
"AIKTAK",2008,"AIKTAK",7,54.183,-164.853,1,"E ALEU",0,2,9,2,7,0,14,20,41,41,0
"AIKTAK",2009,"AIKTAK",7,54.183,-164.853,1,"E ALEU",0,1,9,2,5,4,17,26,52,52,0
"AIKTAK",2009,"AIKTAK",7,54.183,-164.853,1,"E ALEU",0,2,9,2,8,26,0,10,44,44,0
"AIKTAK",2011,"AIKTAK",7,54.183,-164.853,1,"E ALEU",0,1,9,2,8,5,28,35,76,76,0
"AIKTAK",2011,"AIKTAK",7,54.183,-164.853,1,"E ALEU",0,2,9,1,6,8,19,46,79,79,0
"AIKTAK",2014,"AIKTAK",7,54.183,-164.853,1,"E ALEU",0,1,9,7,11,7,25,15,60,58,2
"AIKTAK",2014,"AIKTAK",7,54.183,-164.853,1,"E ALEU",0,2,9,7,11,12,20,18,63,61,2
"AIKTAK",2016,"AIKTAK",7,54.183,-164.853,1,"E ALEU",0,1,9,4,3,5,6,1,15,15,0
"AIKTAK",2016,"AIKTAK",7,54.183,-164.853,1,"E ALEU",0,2,9,4,6,0,5,4,15,15,0
"AIUGNAK COLUMNS",2013,"AIUGNAK COLUMNS",8,56.879,-156.568,0,"C GULF",0,1,7,0,1,2,2,14,19,19,0
"AIUGNAK COLUMNS",2013,"AIUGNAK COLUMNS",8,56.879,-156.568,0,"C GULF",0,2,7,0,2,1,5,11,19,19,0
"AKUN/BILLINGS HEAD",2008,"AKUN/BILLINGS HEAD",6,54.294,-165.534,1,"E ALEU",1,1,9,0,379,0,0,0,379,379,0
"AKUN/BILLINGS HEAD",2008,"AKUN/BILLINGS HEAD",6,54.294,-165.534,1,"E ALEU",1,2,9,0,0,0,0,392,392,392,0
"AKUN/BILLINGS HEAD",2014,"AKUN/BILLINGS HEAD",6,54.294,-165.534,1,"E ALEU",1,1,9,106,76,85,270,126,557,557,0
"AKUN/BILLINGS HEAD",2014,"AKUN/BILLINGS HEAD",6,54.294,-165.534,1,"E ALEU",1,2,9,111,107,62,261,130,560,560,0
"AKUN/BILLINGS HEAD",2015,"AKUN/BILLINGS HEAD",6,54.294,-165.534,1,"E ALEU",1,1,9,139,60,55,295,113,563,523,40
"AKUN/BILLINGS HEAD",2015,"AKUN/BILLINGS HEAD",6,54.294,-165.534,1,"E ALEU",1,2,9,138,61,55,262,142,560,520,40
"AKUN/BILLINGS HEAD",2016,"AKUN/BILLINGS HEAD",6,54.294,-165.534,1,"E ALEU",1,1,9,137,52,66,331,310,759,759,0
"AKUN/BILLINGS HEAD",2016,"AKUN/BILLINGS HEAD",6,54.294,-165.534,1,"E ALEU",1,2,9,134,71,56,237,387,751,751,0
"AKUTAN/CAPE MORGAN",2008,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,1,9,654,121,134,768,106,1129,1129,0
"AKUTAN/CAPE MORGAN",2008,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,2,9,642,145,90,763,124,1122,1122,0
"AKUTAN/CAPE MORGAN",2009,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,1,9,699,119,100,574,113,906,906,0
"AKUTAN/CAPE MORGAN",2009,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,2,9,677,143,106,587,67,903,903,0
"AKUTAN/CAPE MORGAN",2010,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,1,9,736,157,160,889,84,1292,1290,2
"AKUTAN/CAPE MORGAN",2010,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,2,9,723,142,204,834,123,1305,1303,2
"AKUTAN/CAPE MORGAN",2011,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,1,9,740,166,115,896,187,1364,1364,0
"AKUTAN/CAPE MORGAN",2011,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,2,9,727,142,107,833,268,1350,1350,0
"AKUTAN/CAPE MORGAN",2014,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,1,9,743,199,128,721,73,1125,1121,4
"AKUTAN/CAPE MORGAN",2014,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,2,9,752,239,108,713,65,1129,1125,4
"AKUTAN/CAPE MORGAN",2016,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,1,9,728,140,63,585,96,892,884,8
"AKUTAN/CAPE MORGAN",2016,"AKUTAN/CAPE MORGAN",6,54.056,-166.002,1,"E ALEU",1,2,9,733,134,84,588,95,909,901,8
"AKUTAN/REEF-LAVA",2008,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,1,9,2,4,4,15,98,121,121,0
"AKUTAN/REEF-LAVA",2008,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,2,9,3,8,1,35,77,121,121,0
"AKUTAN/REEF-LAVA",2009,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,1,9,22,11,6,69,80,166,166,0
"AKUTAN/REEF-LAVA",2009,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,2,9,22,12,2,110,42,166,166,0
"AKUTAN/REEF-LAVA",2010,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,1,9,9,13,1,41,38,98,93,5
"AKUTAN/REEF-LAVA",2010,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,2,9,10,13,3,41,36,98,93,5
"AKUTAN/REEF-LAVA",2011,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,1,9,21,27,45,141,139,352,352,0
"AKUTAN/REEF-LAVA",2011,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,2,9,21,25,54,116,158,353,353,0
"AKUTAN/REEF-LAVA",2014,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,1,9,21,24,46,186,94,350,350,0
"AKUTAN/REEF-LAVA",2014,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,2,9,21,33,40,145,136,354,354,0
"AKUTAN/REEF-LAVA",2016,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,1,9,13,18,2,69,126,218,215,3
"AKUTAN/REEF-LAVA",2016,"AKUTAN/REEF-LAVA",6,54.135,-166.103,1,"E ALEU",0,2,9,13,13,3,41,159,219,216,3
"ALAID",2008,"ALAID",1,52.775,173.858,1,"W ALEU",0,1,11,37,8,11,33,35,87,87,0
"ALAID",2008,"ALAID",1,52.775,173.858,1,"W ALEU",0,2,11,14,22,4,30,29,85,85,0
"ALAID",2012,"ALAID",1,52.775,173.858,1,"W ALEU",0,1,11,9,11,22,31,39,103,103,0
"ALAID",2012,"ALAID",1,52.775,173.858,1,"W ALEU",0,2,11,9,11,22,30,40,103,103,0
"ALAID",2014,"ALAID",1,52.775,173.858,1,"W ALEU",0,1,11,16,12,4,28,41,90,85,5
"ALAID",2014,"ALAID",1,52.775,173.858,1,"W ALEU",0,2,11,16,10,4,25,48,111,87,24
"ALAID",2016,"ALAID",1,52.775,173.858,1,"W ALEU",0,1,11,14,10,2,27,27,67,66,1
"ALAID",2016,"ALAID",1,52.775,173.858,1,"W ALEU",0,2,11,14,9,3,21,31,65,64,1
"ALAID",2017,"ALAID",1,52.775,173.858,1,"W ALEU",0,1,11,8,6,9,21,25,76,61,15
"ALAID",2017,"ALAID",1,52.775,173.858,1,"W ALEU",0,2,11,8,8,3,23,30,79,64,15
"AMAK+ROCKS",2008,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,1,9,0,17,38,24,173,252,252,0
"AMAK+ROCKS",2008,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,2,9,1,34,19,70,135,258,258,0
"AMAK+ROCKS",2009,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,1,9,1,8,64,26,228,326,326,0
"AMAK+ROCKS",2009,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,2,9,1,29,24,144,124,321,321,0
"AMAK+ROCKS",2010,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,1,9,3,23,22,71,255,371,371,0
"AMAK+ROCKS",2010,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,2,9,0,8,24,87,243,362,362,0
"AMAK+ROCKS",2011,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,1,9,2,23,17,50,264,354,354,0
"AMAK+ROCKS",2011,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,2,9,0,13,31,38,273,355,355,0
"AMAK+ROCKS",2014,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,1,9,4,15,33,26,513,587,587,0
"AMAK+ROCKS",2014,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,2,9,4,18,33,34,511,597,596,1
"AMAK+ROCKS",2016,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,1,9,2,33,39,114,935,1121,1121,0
"AMAK+ROCKS",2016,"AMAK+ROCKS",6,55.429,-163.172,1,"E ALEU",0,2,9,4,54,53,121,1460,1688,1688,0
"AMATIGNAK/NITROF POINT",2008,"AMATIGNAK/NITROF POINT",3,51.216,-179.128,1,"C ALEU",0,1,10,0,3,4,16,27,50,50,0
"AMATIGNAK/NITROF POINT",2008,"AMATIGNAK/NITROF POINT",3,51.216,-179.128,1,"C ALEU",0,2,10,1,5,1,21,21,48,48,0
"AMATIGNAK/NITROF POINT",2010,"AMATIGNAK/NITROF POINT",3,51.216,-179.128,1,"C ALEU",0,1,10,0,4,26,0,16,46,46,0
"AMATIGNAK/NITROF POINT",2010,"AMATIGNAK/NITROF POINT",3,51.216,-179.128,1,"C ALEU",0,2,10,0,4,1,21,21,47,47,0
"AMATIGNAK/NITROF POINT",2014,"AMATIGNAK/NITROF POINT",3,51.216,-179.128,1,"C ALEU",0,1,10,0,1,2,2,24,29,29,0
"AMATIGNAK/NITROF POINT",2014,"AMATIGNAK/NITROF POINT",3,51.216,-179.128,1,"C ALEU",0,2,10,0,1,2,7,19,29,29,0
"AMCHITKA/COLUMN ROCK",2008,"AMCHITKA/COLUMN ROCK",2,51.539,178.821,1,"C ALEU",1,1,10,40,10,2,50,6,68,68,0
"AMCHITKA/COLUMN ROCK",2008,"AMCHITKA/COLUMN ROCK",2,51.539,178.821,1,"C ALEU",1,2,10,37,12,0,52,4,68,68,0
"AMCHITKA/COLUMN ROCK",2009,"AMCHITKA/COLUMN ROCK",2,51.539,178.821,1,"C ALEU",1,1,10,38,10,9,45,2,66,66,0
"AMCHITKA/COLUMN ROCK",2009,"AMCHITKA/COLUMN ROCK",2,51.539,178.821,1,"C ALEU",1,2,10,41,14,6,43,3,66,66,0
"AMCHITKA/COLUMN ROCK",2014,"AMCHITKA/COLUMN ROCK",2,51.539,178.821,1,"C ALEU",1,1,10,7,NA,NA,NA,NA,37,NA,NA
"AMCHITKA/COLUMN ROCK",2014,"AMCHITKA/COLUMN ROCK",2,51.539,178.821,1,"C ALEU",1,2,10,7,NA,NA,NA,NA,37,NA,NA
"AMCHITKA/COLUMN ROCK",2016,"AMCHITKA/COLUMN ROCK",2,51.539,178.821,1,"C ALEU",1,1,10,35,10,6,41,5,63,62,1
"AMCHITKA/COLUMN ROCK",2016,"AMCHITKA/COLUMN ROCK",2,51.539,178.821,1,"C ALEU",1,2,10,35,17,1,38,7,64,63,1
"AMCHITKA/EAST CAPE",2009,"AMCHITKA/EAST CAPE",2,51.371,179.466,1,"C ALEU",0,1,10,14,14,6,29,22,71,71,0
"AMCHITKA/EAST CAPE",2009,"AMCHITKA/EAST CAPE",2,51.371,179.466,1,"C ALEU",0,2,10,12,10,5,27,27,69,69,0
"AMCHITKA/EAST CAPE",2014,"AMCHITKA/EAST CAPE",2,51.371,179.466,1,"C ALEU",0,1,10,9,25,20,45,57,147,147,0
"AMCHITKA/EAST CAPE",2014,"AMCHITKA/EAST CAPE",2,51.371,179.466,1,"C ALEU",0,2,10,9,27,24,49,46,146,146,0
"AMCHITKA/EAST CAPE",2016,"AMCHITKA/EAST CAPE",2,51.371,179.466,1,"C ALEU",0,1,10,13,17,7,38,49,111,111,0
"AMCHITKA/EAST CAPE",2016,"AMCHITKA/EAST CAPE",2,51.371,179.466,1,"C ALEU",0,2,10,13,16,7,49,40,112,112,0
"AMLIA/CAPE MISTY",2011,"AMLIA/CAPE MISTY",5,52.041,-173.838,0,"C ALEU",0,1,10,0,0,1,0,8,9,9,0
"AMLIA/CAPE MISTY",2011,"AMLIA/CAPE MISTY",5,52.041,-173.838,0,"C ALEU",0,2,10,0,0,1,0,9,10,10,0
"AMLIA/CAPE MISTY",2014,"AMLIA/CAPE MISTY",5,52.041,-173.838,0,"C ALEU",0,1,10,0,0,0,0,32,32,32,0
"AMLIA/CAPE MISTY",2014,"AMLIA/CAPE MISTY",5,52.041,-173.838,0,"C ALEU",0,2,10,0,0,0,6,26,32,32,0
"AMLIA/EAST CAPE",2008,"AMLIA/EAST CAPE",5,52.095,-172.964,1,"C ALEU",1,1,10,3,4,12,13,74,103,103,0
"AMLIA/EAST CAPE",2008,"AMLIA/EAST CAPE",5,52.095,-172.964,1,"C ALEU",1,2,10,3,13,0,23,63,99,99,0
"AMLIA/EAST CAPE",2010,"AMLIA/EAST CAPE",5,52.095,-172.964,1,"C ALEU",1,1,10,2,9,2,25,27,63,63,0
"AMLIA/EAST CAPE",2010,"AMLIA/EAST CAPE",5,52.095,-172.964,1,"C ALEU",1,2,10,2,5,6,22,30,63,63,0
"AMLIA/EAST CAPE",2011,"AMLIA/EAST CAPE",5,52.095,-172.964,1,"C ALEU",1,1,10,0,4,1,3,6,14,14,0
"AMLIA/EAST CAPE",2011,"AMLIA/EAST CAPE",5,52.095,-172.964,1,"C ALEU",1,2,10,0,4,1,2,7,14,14,0
"AMLIA/EAST CAPE",2014,"AMLIA/EAST CAPE",5,52.095,-172.964,1,"C ALEU",1,1,10,2,2,2,0,15,19,19,0
"AMLIA/EAST CAPE",2014,"AMLIA/EAST CAPE",5,52.095,-172.964,1,"C ALEU",1,2,10,2,4,2,5,8,19,19,0
"AMLIA/EAST CAPE",2016,"AMLIA/EAST CAPE",5,52.095,-172.964,1,"C ALEU",1,1,10,94,41,45,203,126,415,415,0
"AMLIA/EAST CAPE",2016,"AMLIA/EAST CAPE",5,52.095,-172.964,1,"C ALEU",1,2,10,98,45,27,210,141,424,423,1
"AMLIA/SVIECH. HARBOR",2008,"AMLIA/SVIECH. HARBOR",5,52.031,-173.398,1,"C ALEU",0,1,10,21,17,9,37,37,100,100,0
"AMLIA/SVIECH. HARBOR",2008,"AMLIA/SVIECH. HARBOR",5,52.031,-173.398,1,"C ALEU",0,2,10,14,27,2,36,31,96,96,0
"AMLIA/SVIECH. HARBOR",2009,"AMLIA/SVIECH. HARBOR",5,52.031,-173.398,1,"C ALEU",0,1,10,35,32,16,74,68,190,190,0
"AMLIA/SVIECH. HARBOR",2009,"AMLIA/SVIECH. HARBOR",5,52.031,-173.398,1,"C ALEU",0,2,10,32,34,10,83,65,192,192,0
"AMLIA/SVIECH. HARBOR",2010,"AMLIA/SVIECH. HARBOR",5,52.031,-173.398,1,"C ALEU",0,1,10,30,33,10,44,28,120,115,5
