Complex,Site,RCA,CH_93,CH_93H,CH_15,CH_15H,LAT,LON,Region,Reg_no,Rookery
CHAGULAK,CHAGULAK,5,,1,,1,52.559,-171.17,C ALEU,10,0
AMUKTA+ROCKS,AMUKTA+ROCKS,5,,1,,1,52.449,-171.306,C ALEU,10,0
SEGUAM/TURF POINT,SEGUAM/SW RIP,5,,,,,52.251,-172.608,C ALEU,10,0
SEGUAM/SADDLERIDGE,SEGUAM/SADDLERIDGE,5,1,,1,,52.348,-172.568,C ALEU,10,1
SEGUAM/TURF POINT,SEGUAM/TURF POINT,5,,1,,1,52.259,-172.52,C ALEU,10,0
SEGUAM/TURF POINT,SEGUAM/LAVA COVE,5,,,,,52.267,-172.475,C ALEU,10,0
SEGUAM/TURF POINT,SEGUAM/LAVA POINT,5,,,,,52.275,-172.4,C ALEU,10,0
SEGUAM/TURF POINT,SEGUAM/WHARF POINT,5,,,,1,52.359,-172.316,C ALEU,10,0
AGLIGADAK,AGLIGADAK,5,1,,,1,52.102,-172.903,C ALEU,10,0
AMLIA/CAPE MISTY,AMLIA/CAPE MISTY,5,,,,,52.041,-173.838,C ALEU,10,0
AMLIA/SVIECH. HARBOR,AMLIA/SVIECH. HARBOR,5,,1,,1,52.031,-173.398,C ALEU,10,0
TANADAK (AMLIA),TANADAK (AMLIA),5,,1,,1,52.07,-172.96,C ALEU,10,0
SAGIGIK,SAGIGIK,5,,1,,1,52.008,-173.156,C ALEU,10,0
AMTAGIS,AMTAGIS,4,,,,,52.017,-174.433,C ALEU,10,0
SAGCHUDAK,SAGCHUDAK,4,,,,,52.012,-174.485,C ALEU,10,0
ATKA/NORTH CAPE,ATKA/NORTH CAPE,4,,1,,1,52.401,-174.277,C ALEU,10,0
SALT,SALT,4,,,,1,52.175,-174.642,C ALEU,10,0
KONIUJI/NORTH POINT,KONIUJI/NORTH POINT,4,,,,,52.225,-175.142,C ALEU,10,0
KASATOCHI/NORTH POINT,KASATOCHI/NORTH POINT,4,1,,1,,52.185,-175.516,C ALEU,10,1
OGLODAK,OGLODAK,4,,,,1,51.977,-175.457,C ALEU,10,0
IKIGINAK,IKIGINAK,4,,,,,51.975,-175.483,C ALEU,10,0
FENIMORE,FENIMORE,4,,,,,51.979,-175.545,C ALEU,10,0
TAGALAK,TAGALAK,4,,,,1,51.96,-175.616,C ALEU,10,0
CHUGUL,CHUGUL,4,,,,,51.917,-175.763,C ALEU,10,0
ANAGAKSIK,ANAGAKSIK,4,,1,,1,51.852,-175.887,C ALEU,10,0
IGITKIN/SW POINT,IGITKIN/SW POINT,4,,,,,51.983,-175.958,C ALEU,10,0
LITTLE TANAGA STRAIT,LITTLE TANAGA STRAIT,4,,1,,1,51.82,-176.229,C ALEU,10,0
SILAK,SILAK,4,,,,,51.815,-176.246,C ALEU,10,0
KAGALASKA,KAGALASKA,4,,,,1,51.871,-176.31,C ALEU,10,0
ADAK/CAPE MOFFET,ADAK/CAPE MOFFET,4,,,,,51.972,-176.722,C ALEU,10,0
ADAK/ARGONNE POINT,ADAK/ARGONNE POINT,4,,,,,51.828,-176.907,C ALEU,10,0
ADAK,ADAK/LAKE POINT,4,1,,1,,51.625,-176.992,C ALEU,10,1
ADAK,ADAK/CAPE YAKAK,4,,,,1,51.59,-176.948,C ALEU,10,0
ADAK/CRONE ISLAND,ADAK/CRONE ISLAND,4,,,,,51.676,-176.613,C ALEU,10,0
KANAGA/N CAPE,KANAGA/N CAPE,3,,1,,1,51.942,-177.142,C ALEU,10,0
KANAGA/CAPE MIGA,KANAGA/CAPE MIGA,3,,,,,51.94,-177.183,C ALEU,10,0
KANAGA/SHIP ROCK,KANAGA/SHIP ROCK,3,,1,1,,51.778,-177.345,C ALEU,10,1
KANAGA/CAPE CHUNU,KANAGA/CAPE CHUNU,3,,,,,51.658,-177.642,C ALEU,10,0
BOBROF,BOBROF,3,,1,,1,51.897,-177.46,C ALEU,10,0
TANAGA/CAPE SASMIK,TANAGA/CAPE SASMIK,3,,,,,51.597,-177.938,C ALEU,10,0
ILAK,ILAK,3,,,,,51.479,-178.315,C ALEU,10,0
GRAMP ROCK,GRAMP ROCK,3,1,,1,,51.48,-178.343,C ALEU,10,1
UGIDAK,UGIDAK,3,,1,,1,51.583,-178.509,C ALEU,10,0
TAG,TAG,3,1,,1,,51.557,-178.577,C ALEU,10,1
OGLIUGA,OGLIUGA,3,,,,,51.616,-178.657,C ALEU,10,0
SKAGUL/S. POINT,SKAGUL/S. POINT,3,,,,,51.583,-178.567,C ALEU,10,0
GARELOI,GARELOI,3,,,,,51.745,-178.768,C ALEU,10,0
KAVALGA,KAVALGA,3,,1,,1,51.576,-178.865,C ALEU,10,0
UNALGA+DINKUM ROCKS,UNALGA+DINKUM ROCKS,3,,1,,1,51.561,-179.069,C ALEU,10,0
ULAK/HASGOX POINT,ULAK/HASGOX POINT,3,1,,1,,51.308,-178.991,C ALEU,10,1
AMATIGNAK/KNOB POINT,AMATIGNAK/KNOB POINT,3,,,,,51.25,-179.067,C ALEU,10,0
AMATIGNAK/NITROF POINT,AMATIGNAK/NITROF POINT,3,,1,,1,51.216,-179.128,C ALEU,10,0
SEMISOPOCHNOI/POCHNOI,SEMISOPOCHNOI/POCHNOI,2,1,,,1,51.955,179.767,C ALEU,10,0
SEMISOPOCHNOI/TUMAN POINT,SEMISOPOCHNOI/TUMAN POINT,2,,,,1,51.963,179.482,C ALEU,10,0
SEMISOPOCHNOI/SW KNOB,SEMISOPOCHNOI/SW KNOB,2,,,,,51.915,179.509,C ALEU,10,0
AMCHITKA/CAPE IVAKIN,AMCHITKA/CAPE IVAKIN,2,,,,1,51.408,179.404,C ALEU,10,0
AMCHITKA/OMEGA POINT,AMCHITKA/OMEGA POINT,2,,,,,51.357,179.387,C ALEU,10,0
AMCHITKA/ST. MAKARIUS,AMCHITKA/ST. MAKARIUS,2,,,,,51.35,179.233,C ALEU,10,0
AMCHITKA/COLUMN ROCK,AMCHITKA/COLUMN ROCK,2,1,,1,,51.539,178.821,C ALEU,10,1
AMCHITKA/BIRD,AMCHITKA/BIRD,2,,,,,51.663,178.628,C ALEU,10,0
AMCHITKA/CHITKA POINT,AMCHITKA/CHITKA POINT,2,,,,,51.59,179.008,C ALEU,10,0
AYUGADAK,AYUGADAK,2,1,,1,,51.756,178.405,C ALEU,10,1
HAWADAX (RAT),HAWADAX (RAT),2,,,,1,51.833,178.206,C ALEU,10,0
LITTLE SITKIN,LITTLE SITKIN,2,,1,,1,51.988,178.497,C ALEU,10,0
SEGULA/GULA POINT,SEGULA/GULA POINT,2,,1,,1,52.051,178.147,C ALEU,10,0
SEGULA/CHUGUL POINT,SEGULA/CHUGUL POINT,2,,,,1,51.998,178.097,C ALEU,10,0
SEA LION ROCK (KISKA),SEA LION ROCK (KISKA),2,,,,,51.88,177.98,C ALEU,10,0
TANADAK (KISKA),TANADAK (KISKA),2,,1,,1,51.947,177.78,C ALEU,10,0
TWIN ROCKS (KISKA),TWIN ROCKS (KISKA),2,,,,,51.92,177.618,C ALEU,10,0
KISKA/SOUTH HEAD,KISKA/SOUTH HEAD,2,,,,,51.952,177.608,C ALEU,10,0
KISKA/WITCHCRAFT POINT,KISKA/WITCHCRAFT POINT,2,,,,,52.048,177.493,C ALEU,10,0
KISKA/WOLF POINT,KISKA/WOLF POINT,2,,,,,52.117,177.558,C ALEU,10,0
KISKA/SIRIUS POINT,KISKA/SIRIUS POINT,2,,1,,1,52.130451,177.612264,C ALEU,10,0
KISKA/PILLAR ROCK,KISKA/PILLAR ROCK,2,,,,,52.12,177.363,C ALEU,10,0
BULDIR,BULDIR/EAST CAPE,1,1,,1,,52.36,175.973,W ALEU,11,1
BULDIR,BULDIR/NW ROCKS,1,1,,1,,52.386,175.847,W ALEU,11,0
INGENSTREM ROCKS,INGENSTREM ROCKS,1,,,,,52.637,174.52,W ALEU,11,0
SHEMYA,SHEMYA,1,,1,,1,52.733,174.145,W ALEU,11,0
NIZKI,NIZKI,1,,,,,52.75,173.983,W ALEU,11,0
AGATTU,AGATTU/GILLON POINT,1,1,,1,,52.402,173.355,W ALEU,11,1
DAN'S ROCKS,DAN'S ROCKS,1,,,,,52.775,173.292,W ALEU,11,0
ATTU,ATTU/MASSACRE BAY,1,,,,,52.783,173.15,W ALEU,11,0
ATTU,ATTU/CHIRIKOF POINT,1,,1,,1,52.829,173.433,W ALEU,11,0
ATTU,ATTU/CHICHAGOF POINT,1,,,,,52.943,173.265,W ALEU,11,0
ATTU,ATTU/KRESTA POINT,1,,,,,53.003,172.633,W ALEU,11,0
ST. GEORGE/SOUTH ROOKERY,ST. GEORGE/SOUTH ROOKERY,6,,1,,1,56.558,-169.667,E ALEU (BERING),9,0
ST. GEORGE/DALNOI POINT,ST. GEORGE/DALNOI POINT,6,,1,,1,56.6,-169.767,E ALEU (BERING),9,0
ST. PAUL/SEA LION ROCK,ST. PAUL/SEA LION ROCK,6,,1,,1,57.1,-170.292,E ALEU (BERING),9,0
ST. PAUL/NE POINT,ST. PAUL/NE POINT,6,,1,,1,57.25,-170.108,E ALEU (BERING),9,0
WALRUS,WALRUS,6,1,,1,,57.183,-169.933,E ALEU (BERING),9,1
ROUND (WALRUS IS),ROUND (WALRUS IS),6,,1,,1,58.6,-159.967,E ALEU (BERING),9,0
CAPE NEWENHAM,CAPE NEWENHAM,6,,1,,1,58.65,-162.175,E ALEU (BERING),9,0
HALL,HALL,6,,1,,1,60.617,-173,E ALEU (BERING),9,0
ST. LAWRENCE/S. PUNUK,ST. LAWRENCE/S. PUNUK,6,,1,,1,63.067,-168.85,E ALEU (BERING),9,0
ST. LAWRENCE/SW CAPE,ST. LAWRENCE/SW CAPE,6,,1,,1,63.3,-171.433,E ALEU (BERING),9,0
UNALASKA/BRUNDAGE HEAD,UNALASKA/BRUNDAGE HEAD,6,,,,,53.933,-166.202,E ALEU,9,0
MIDDLE PASS ROCK,MIDDLE PASS ROCK,11,,,,,58.251,-136.388,SE AK,5,0
TARR INLET,TARR INLET,11,,,,,58.939873,-136.918448,SE AK,5,0
GAFF ROCK,GAFF ROCK,11,,,,,58.193,-136.419,SE AK,5,0
BLACK ROCK,BLACK ROCK,11,,,,,58.325,-135.613,SE AK,5,0
CHISWELL ISLANDS,NATOA (GROTTO),10,,,,,59.632,-149.6,E GULF,6,0
STEEP POINT,RAGGED/HOOF POINT,10,,,,,59.417,-150.297,E GULF,6,0
PAUL,PAUL,7,,,,,55.758,-159.3,W GULF,8,0
KODIAK/BIRD ROCK,KODIAK/BIRD ROCK,9,,,,,57.692,-153.91,C GULF,7,0
ADAK/HEAD ROCK,ADAK/HEAD ROCK,4,,,,,51.925,-176.527,C ALEU,10,0
CAPE OMMANEY,CAPE OMMANEY/S,11,,1,,1,56.162,-134.67,SE AK,5,0
AKWE,AKWE,11,,,,1,59.277,-139.03,SE AK,5,0
ALSEK,ALSEK,11,,,,1,59.129,-138.626,SE AK,5,0
LITTLE ISLAND,LITTLE ISLAND,11,,,,1,58.53,-135.05,SE AK,5,0
TANAGA/CAPE SUDAK,TANAGA/CAPE SUDAK,3,,,,,51.855,-177.616,C ALEU,10,0
DUTCH GROUP,DUTCH GROUP,10,,,,1,60.7657,-147.7726,E GULF,6,0
OTTER ISLAND,OTTER ISLAND,6,,,,,57.049,-170.396,E ALEU (BERING),9,0
ADAK/CAPE KAGIGIKAK,ADAK/CAPE KAGIGIKAK,4,,,,,51.629,-176.7231,C ALEU,10,0
AVATANAK,AVATANAK/S,6,,,,,54.038,-165.299,E ALEU,9,0
AVATANAK,AVATANAK/SE,6,,,,,54.0648,-165.2283,E ALEU,9,0
AVATANAK,AVATANAK/NE,6,,,,,54.092,-165.27,E ALEU,9,0
AMATIGNAK/WEST,AMATIGNAK/WEST,3,,,,,51.278,-179.144,C ALEU,10,0
ATKA/NORTH CAPE,ATKA/SW OF NORTH CAPE,4,,1,,1,52.382,-174.323,C ALEU,10,0
BIRD (SHUMAGINS),BIRD (SHUMAGINS),7,,,,,54.8143,-159.8214,W GULF,8,0
EGG,EGG/SE Tip,6,,,,,53.858,-166.042,E ALEU,9,0
EGG,EGG/West,6,,,,,53.861,-166.062,E ALEU,9,0
KANAGA/CAPE MIGA,KANAGA/S OF CAPE MIGA,3,,,,,51.922,-177.201,C ALEU,10,0
SEGUAM/TURF POINT,SEGUAM/MOUNDHILL POINT,5,,,,,52.3013,-172.3457,C ALEU,10,0
SIMEONOF,SIMEONOF,7,,,,,54.8617,-159.2539,W GULF,8,0
TAGALAK,TAGALAK/PASS,4,,,,1,51.9476,-175.7465,C ALEU,10,0
UGAMAK,UGAMAK/SW,7,1,,1,,54.189,-164.867,E ALEU,9,1
UMNAK/CAPE UDAK,UMNAK/CAPE UDAK,6,,,,,52.903082,-168.774829,E ALEU,9,0
UNIMAK/CAPE SARICHEF,UNIMAK/CAPE SARICHEF N,6,,,,1,54.594,-164.933,E ALEU,9,0
UNIMAK/OKSENOF POINT,UNIMAK/S OF OKSENOF POINT,6,,,,1,54.869,-164.561,E ALEU,9,0
UNALASKA/MAKUSHIN BAY,UNALASKA/W OF MAKUSHIN BAY,6,,,,,53.782,-167.072,E ALEU,9,0
ROCKY ISLAND,ROCKY ISLAND,11,,,,,58.178,-135.051,SE AK,5,0
ST. LAWRENCE/SIVUONOK,ST. LAWRENCE/SIVUONOK,6,,,,1,63.6769,-171.5899,E ALEU (BERING),9,0
ST. GEORGE/KITOSILOX,ST. GEORGE/KITOSILOX,6,,,,1,56.598,-169.476,E ALEU (BERING),9,0
BERNERS BAY,BERNERS BAY,11,,,,,58.753991,-135.017931,SE AK,5,0
FUNTER BAY,FUNTER BAY,11,,,,,58.215493,-134.913371,SE AK,5,0
GLOOMY KNOB,GLOOMY KNOB,11,,,,,58.8260932,-136.464292,SE AK,5,0
LISENOI,LISENOI,11,,,,,56.497922,-132.480062,SE AK,5,0
NOSE POINT,NOSE POINT,11,,,,,55.80489,-131.7077,SE AK,5,0
SUNSET POINT,SUNSET POINT,11,,,,,57.490509,-133.527154,SE AK,5,0
WALTER (PORT HOUGHTON),WALTER (PORT HOUGHTON),11,,,,,57.310292,-133.291598,SE AK,5,0
SUMMIT,SUMMIT,6,,,,,58.826,-160.184,E ALEU (BERING),9,0
HAENKE,HAENKE,11,,,,,59.963023,-139.54765,SE AK,5,0
UNALASKA/POINT KADIN,UNALASKA/POINT KADIN,6,,,,,53.92583333,-167.0781667,E ALEU,9,0
KAGALASKA/RAGGED POINT,KAGALASKA/RAGGED POINT,4,,,,,51.744,-176.2864,C ALEU,10,0
FORRESTER,FORRESTER/LOWRIE,11,1,,,,54.862,-133.537,SE AK,5,1
FORRESTER,FORRESTER/LOWRIE/B,11,1,,,,54.86,-133.552,SE AK,5,1
FORRESTER,FORRESTER/LOWRIE/C,11,1,,,,54.854,-133.543,SE AK,5,1
HAZY,HAZY,11,1,,,,55.867,-134.567,SE AK,5,1
HAZY,HAZY/B,11,1,,,,55.858,-134.583,SE AK,5,1
CAPE BINGHAM,CAPE BINGHAM,11,,,,,58.0861,-136.5625,SE AK,5,0
CAPE ST. ELIAS,CAPE ST. ELIAS,10,,1,,1,59.789,-144.603,E GULF,6,0
CAPE ST. ELIAS,CAPE ST. ELIAS/B,10,,1,,1,59.7615,-144.591,E GULF,6,0
WOODED (FISH),WOODED (FISH),10,1,,1,,59.882,-147.346,E GULF,6,1
WOODED (FISH),WOODED (FISH)/B,10,1,,1,,59.876,-147.35,E GULF,6,1
CAPE RESURRECTION,CAPE RESURRECTION,10,,,,,59.8606,-149.2824,E GULF,6,0
CAPE RESURRECTION,CAPE RESURRECTION/B,10,,,,,59.8801,-149.2923,E GULF,6,0
CAPE RESURRECTION,CAPE RESURRECTION/C,10,,,,,59.8913,-149.3017,E GULF,6,0
RUGGED,RUGGED,10,,,,1,59.833,-149.385,E GULF,6,0
RUGGED,RUGGED/B,10,,,,1,59.85,-149.412,E GULF,6,0
CHISWELL ISLANDS,CHISWELL ISLANDS/B,10,,1,1,,59.6147,-149.6,E GULF,6,1
OUTER (PYE),OUTER (PYE),10,1,,1,,59.346,-150.407,C GULF,7,1
OUTER (PYE),OUTER (PYE)/B,10,1,,1,,59.345,-150.394,C GULF,7,1
USHAGAT,USHAGAT/SW,9,,1,1,,58.912,-152.369,C GULF,7,1
USHAGAT,USHAGAT/SW/B,9,,1,1,,58.905,-152.248,C GULF,7,1
USHAGAT,USHAGAT/SW/C,9,,1,1,,58.901,-152.344,C GULF,7,1
MARMOT,MARMOT,9,1,,1,,58.169,-151.854,C GULF,7,1
MARMOT,MARMOT/B,9,1,,1,,58.205,-151.8,C GULF,7,1
KODIAK/CAPE CHINIAK,KODIAK/CAPE CHINIAK,9,,1,,1,57.635,-152.138,C GULF,7,0
KODIAK/CAPE CHINIAK,KODIAK/CAPE CHINIAK/B,9,,1,,1,57.629,-152.137,C GULF,7,0
UGAK,UGAK,9,,1,,1,57.393,-152.292,C GULF,7,0
UGAK,UGAK/B,9,,1,,1,57.365,-152.29,C GULF,7,0
TWOHEADED,TWOHEADED,9,,1,1,,56.9033,-153.5544,C GULF,7,1
TWOHEADED,TWOHEADED/B,9,,1,1,,56.8977,-153.5686,C GULF,7,1
CAPE GULL,CAPE GULL,8,,1,,1,58.192,-154.16,C GULF,7,0
CAPE GULL,CAPE GULL/B,8,,1,,1,58.208,-154.175,C GULF,7,0
SUTWIK,SUTWIK,8,,1,,1,56.518,-157.341,C GULF,7,0
SUTWIK,SUTWIK/B,8,,1,,1,56.533,-157.35,C GULF,7,0
CHOWIET,CHOWIET,8,1,,1,,56.001,-156.687,C GULF,7,1
CHOWIET,CHOWIET/B,8,1,,1,,56.004,-156.693,C GULF,7,1
CHOWIET,CHOWIET/C,8,1,,1,,56.01,-156.691,C GULF,7,1
CHOWIET,CHOWIET/D,8,1,,1,,56.019,-156.684,C GULF,7,1
CHOWIET,CHOWIET/E,8,1,,1,,56.028,-156.685,C GULF,7,1
CHOWIET,CHOWIET/F,8,1,,1,,56.026,-156.678,C GULF,7,1
CHIRIKOF,CHIRIKOF,8,1,,1,,55.774,-155.724,C GULF,7,1
CHIRIKOF,CHIRIKOF/B,8,1,,1,,55.77,-155.691,C GULF,7,1
NAGAI ROCKS,NAGAI ROCKS,8,,1,,1,55.83,-155.79,C GULF,7,0
NAGAI ROCKS,NAGAI ROCKS/B,8,,1,,1,55.824,-155.794,C GULF,7,0
ATKINS,ATKINS,7,1,,1,,55.055,-159.293,W GULF,8,1
ATKINS,ATKINS/B,7,1,,1,,55.052,-159.313,W GULF,8,1
CHERNABURA,CHERNABURA,7,1,,1,,54.757,-159.6,W GULF,8,1
CHERNABURA,CHERNABURA/B,7,1,,1,,54.751,-159.548,W GULF,8,1
NAGAI/MOUNTAIN POINT,NAGAI/MOUNTAIN POINT,7,,1,,1,54.915,-160.2542,W GULF,8,0
NAGAI/MOUNTAIN POINT,NAGAI/MOUNTAIN POINT/B,7,,1,,1,54.9044,-160.2509,W GULF,8,0
NAGAI/MOUNTAIN POINT,NAGAI/MOUNTAIN POINT/C,7,,1,,1,54.8719,-160.2313,W GULF,8,0
UNGA/ACHEREDIN POINT,UNGA/ACHEREDIN POINT,7,,,,1,55.121,-160.818,W GULF,8,0
UNGA/ACHEREDIN POINT,UNGA/ACHEREDIN POINT/B,7,,,,1,55.118,-160.822,W GULF,8,0
SUSHILNOI ROCKS,SUSHILNOI ROCKS,7,,,1,,54.834,-161.741,W GULF,8,1
SUSHILNOI ROCKS,SUSHILNOI ROCKS/B,7,,,1,,54.821,-161.712,W GULF,8,1
PINNACLE ROCK,PINNACLE ROCK,7,1,,1,,54.772,-161.764,W GULF,8,1
PINNACLE ROCK,PINNACLE ROCK/B,7,1,,1,,54.767,-161.764,W GULF,8,1
CLUBBING ROCKS,CLUBBING ROCKS NORTH,7,1,,1,,54.713,-162.445,W GULF,8,1
CLUBBING ROCKS,CLUBBING ROCKS NORTH/B,7,1,,1,,54.7359,-162.4685,W GULF,8,1
AMAK+ROCKS,AMAK+ROCKS,6,,1,,1,55.429,-163.172,E ALEU,9,0
AMAK+ROCKS,AMAK+ROCKS/B,6,,1,,1,55.436,-163.142,E ALEU,9,0
AMAK+ROCKS,AMAK+ROCKS/C,6,,1,,1,55.45,-163.16,E ALEU,9,0
UGAMAK,UGAMAK/NORTH,7,1,,1,,54.226,-164.776,E ALEU,9,1
UGAMAK,UGAMAK/NORTH/B,7,1,,1,,54.225,-164.793,E ALEU,9,1
UGAMAK,UGAMAK/UGAMAK BAY,7,1,,1,,54.209,-164.774,E ALEU,9,1
