AnimalID,Brand,SiteName,Beach,Year,Month,Day,Sex,AdjustedSex,Age,Mass_kg,StandardLength_cm,AxillaryGirth_cm,FlipperLength_cm,Brand_lead,date,Region
15472,X606,SUGARLOAF,NA,2014,7,6,F,NA,P,25.40,105.0,70.0,NA,X,2014-07-06,C GULF
15473,X607,SUGARLOAF,NA,2014,7,6,F,NA,P,27.80,111.0,73.0,NA,X,2014-07-06,C GULF
15474,X608,SUGARLOAF,NA,2014,7,6,M,NA,P,28.80,106.0,74.0,NA,X,2014-07-06,C GULF
15475,X609,SUGARLOAF,NA,2014,7,6,F,NA,P,27.20,104.0,72.0,NA,X,2014-07-06,C GULF
15476,X610,SUGARLOAF,NA,2014,7,6,M,NA,P,29.20,106.0,72.0,NA,X,2014-07-06,C GULF
15477,X611,SUGARLOAF,NA,2014,7,6,M,NA,P,35.60,115.0,69.0,NA,X,2014-07-06,C GULF
15478,X612,SUGARLOAF,NA,2014,7,6,M,NA,P,25.00,108.0,67.0,NA,X,2014-07-06,C GULF
15479,X613,SUGARLOAF,NA,2014,7,6,M,NA,P,33.60,112.0,75.0,NA,X,2014-07-06,C GULF
15480,X614,SUGARLOAF,NA,2014,7,6,M,NA,P,41.80,118.0,87.0,NA,X,2014-07-06,C GULF
15481,X615,SUGARLOAF,NA,2014,7,6,M,NA,P,33.40,110.0,78.0,NA,X,2014-07-06,C GULF
15482,X616,SUGARLOAF,NA,2014,7,6,F,NA,P,29.80,109.0,78.0,NA,X,2014-07-06,C GULF
15483,X617,SUGARLOAF,NA,2014,7,6,F,NA,P,31.00,104.0,76.0,NA,X,2014-07-06,C GULF
15484,X618,SUGARLOAF,NA,2014,7,6,M,NA,P,34.80,117.0,79.0,NA,X,2014-07-06,C GULF
15485,X619,SUGARLOAF,NA,2014,7,6,F,NA,P,33.80,114.0,76.0,NA,X,2014-07-06,C GULF
15486,X620,SUGARLOAF,NA,2014,7,6,F,NA,P,27.80,110.0,72.0,NA,X,2014-07-06,C GULF
15487,X621,SUGARLOAF,NA,2014,7,6,M,NA,P,29.00,104.0,76.0,NA,X,2014-07-06,C GULF
15488,X622,SUGARLOAF,NA,2014,7,6,M,NA,P,31.40,107.0,75.0,NA,X,2014-07-06,C GULF
15489,X623,SUGARLOAF,NA,2014,7,6,M,NA,P,33.00,109.0,79.0,NA,X,2014-07-06,C GULF
15490,X624,SUGARLOAF,NA,2014,7,6,M,NA,P,36.20,118.0,79.0,NA,X,2014-07-06,C GULF
15491,X625,SUGARLOAF,NA,2014,7,6,F,NA,P,25.60,104.0,71.0,NA,X,2014-07-06,C GULF
15492,X626,SUGARLOAF,NA,2014,7,6,M,NA,P,34.60,110.0,78.0,NA,X,2014-07-06,C GULF
15493,X627,SUGARLOAF,NA,2014,7,6,M,NA,P,37.20,113.0,81.0,NA,X,2014-07-06,C GULF
15494,X628,SUGARLOAF,NA,2014,7,6,M,NA,P,38.40,117.0,85.0,NA,X,2014-07-06,C GULF
